Symbol, Price, Shares
NXT.L,7495.0,1
RB.L,5860.0,1
RRS.L,5180.0,1
WOS.L,3971.0,1
BATS.L,3782.0,1
SAB.L,3675.0,1
JMAT.L,3409.0,1
IMT.L,3193.0,1
ABF.L,3125.0,1
SDR.L,3075.0,1
CCL.L,2922.0,1
ULVR.L,2866.0,1
IHG.L,2650.0,1
LSE.L,2480.0,1
SVT.L,2031.0,1
TPK.L,2016.0,1
DGE.L,1935.5,1
BNZL.L,1896.0,1
BRBY.L,1872.0,1
CRH.L,1830.0,1
PSN.L,1764.0,1
EZJ.L,1732.0,1
AGK.L,1708.0,1
PRU.L,1629.5,1
SSE.L,1573.0,1
GSK.L,1541.5,1
WPP.L,1535.0,1
ADM.L,1475.0,1
PSON.L,1420.0,1
IMI.L,1381.0,1
MNDI.L,1330.0,1
LAND.L,1256.0,1
EXPN.L,1198.0,1
AHT.L,1190.0,1
CPI.L,1188.0,1
SN.L,1186.0,1
ARM.L,1159.0,1
